processor,transistor_count,year,designer,fab,process,area,transistor_density_tr_per_mm2,
uPD7220 GDC,"40,000",1982,NEC,NEC,"5,000",?,?,
ARTC HD63484,"60,000",1984,Hitachi,Hitachi,?,?,?,
CBM Agnus,"21,000",1985,Commodore,CSG,"5,000",?,?,
YM7101 VDP,"100,000",1988,"Yamaha, Sega",Yamaha,?,?,?,
Tom & Jerry,"750,000",1993,Flare,IBM,?,?,?,
VDP1,"1,000,000",1994,Sega,Hitachi,500,?,?,
Sony GPU,"1,000,000",1994,Toshiba,LSI,500,?,?,
NV1,"1,000,000",1995,"Nvidia, Sega",SGS,500,90,"11,000",
Reality Coprocessor,"2,600,000",1996,SGI,NEC,350,81,"32,100",
PowerVR,"1,200,000",1996,VideoLogic,NEC,350,?,?,
Voodoo Graphics,"1,000,000",1996,3dfx,TSMC,500,?,?,
Voodoo Rush,"1,000,000",1997,3dfx,TSMC,500,?,?,
NV3,"3,500,000",1997,Nvidia,"SGS, TSMC",350,90,"38,900",
i740,"3,500,000",1998,"Intel, Real3D",Real3D,350,?,?,
Voodoo 2,"4,000,000",1998,3dfx,TSMC,350,?,?,
Voodoo Rush,"4,000,000",1998,3dfx,TSMC,350,?,?,
NV4,"7,000,000",1998,Nvidia,TSMC,350,90,"78,000",
PowerVR2 CLX2,"10,000,000",1998,VideoLogic,NEC,250,116,"86,200",
PowerVR2 PMX1,"6,000,000",1999,VideoLogic,NEC,250,?,?,
Rage 128,"8,000,000",1999,ATI,"TSMC, UMC",250,70,"114,000",
Voodoo 3,"8,100,000",1999,3dfx,TSMC,250,?,?,
Graphics Synthesizer,"43,000,000",1999,"Sony, Toshiba","Sony, Toshiba",180,279,"154,000",
NV5,"15,000,000",1999,Nvidia,TSMC,250,90,"167,000",
NV10,"17,000,000",1999,Nvidia,TSMC,220,111,"153,000",
NV11,"20,000,000",2000,Nvidia,TSMC,180,65,"308,000",
NV15,"25,000,000",2000,Nvidia,TSMC,180,81,"309,000",
Voodoo 4,"14,000,000",2000,3dfx,TSMC,220,?,?,
Voodoo 5,"28,000,000",2000,3dfx,TSMC,220,?,?,
R100,"30,000,000",2000,ATI,TSMC,180,97,"309,000",
Flipper,"51,000,000",2000,ArtX,NEC,180,106,"481,000",
PowerVR3 KYRO,"14,000,000",2001,Imagination,ST,250,?,?,
PowerVR3 KYRO II,"15,000,000",2001,Imagination,ST,180,?,?,
NV2A,"60,000,000",2001,Nvidia,TSMC,150,?,?,
NV20,"57,000,000",2001,Nvidia,TSMC,150,128,"445,000",
NV25,"63,000,000",2002,Nvidia,TSMC,150,142,"444,000",
NV28,"36,000,000",2002,Nvidia,TSMC,150,101,"356,000",
NV17/18,"29,000,000",2002,Nvidia,TSMC,150,65,"446,000",
R200,"60,000,000",2001,ATI,TSMC,150,68,"882,000",
R300,"107,000,000",2002,ATI,TSMC,150,218,"490,800",
R360,"117,000,000",2003,ATI,TSMC,150,218,"536,700",
NV34,"45,000,000",2003,Nvidia,TSMC,150,124,"363,000",
NV34b,"45,000,000",2004,Nvidia,TSMC,140,91,"495,000",
NV30,"125,000,000",2003,Nvidia,TSMC,130,199,"628,000",
NV31,"80,000,000",2003,Nvidia,TSMC,130,121,"661,000",
NV35/38,"135,000,000",2003,Nvidia,TSMC,130,207,"652,000",
NV36,"82,000,000",2003,Nvidia,IBM,130,133,"617,000",
R480,"160,000,000",2004,ATI,TSMC,130,297,"538,700",
NV40,"222,000,000",2004,Nvidia,IBM,130,305,"727,900",
NV44,"75,000,000",2004,Nvidia,IBM,130,110,"681,800",
NV41,"222,000,000",2005,Nvidia,TSMC,110,225,"986,700",
NV42,"198,000,000",2005,Nvidia,TSMC,110,222,"891,900",
NV43,"146,000,000",2005,Nvidia,TSMC,110,154,"948,100",
G70,"303,000,000",2005,Nvidia,"TSMC, Chartered",110,333,"909,900",
Xenos,"232,000,000",2005,ATI,TSMC,90,182,"1,275,000",
RSX Reality Synthesizer,"300,000,000",2005,"Nvidia, Sony",Sony,90,186,"1,613,000",
R520,"321,000,000",2005,ATI,TSMC,90,288,"1,115,000",
RV530,"157,000,000",2005,ATI,TSMC,90,150,"1,047,000",
RV515,"107,000,000",2005,ATI,TSMC,90,100,"1,070,000",
R580,"384,000,000",2006,ATI,TSMC,90,352,"1,091,000",
G71,"278,000,000",2006,Nvidia,TSMC,90,196,"1,418,000",
G72,"112,000,000",2006,Nvidia,TSMC,90,81,"1,383,000",
G73,"177,000,000",2006,Nvidia,TSMC,90,125,"1,416,000",
G80,"681,000,000",2006,Nvidia,TSMC,90,480,"1,419,000",
G86 Tesla,"210,000,000",2007,Nvidia,TSMC,80,127,"1,654,000",
G84 Tesla,"289,000,000",2007,Nvidia,TSMC,80,169,"1,710,000",
RV560,"330,000,000",2006,ATI,TSMC,80,230,"1,435,000",
R600,"700,000,000",2007,ATI,TSMC,80,420,"1,667,000",
RV610,"180,000,000",2007,ATI,TSMC,65,85,"2,118,000",
RV630,"390,000,000",2007,ATI,TSMC,65,153,"2,549,000",
G92,"754,000,000",2007,Nvidia,"TSMC, UMC",65,324,"2,327,000",
G94 Tesla,"505,000,000",2008,Nvidia,TSMC,65,240,"2,104,000",
G96 Tesla,"314,000,000",2008,Nvidia,TSMC,65,144,"2,181,000",
G98 Tesla,"210,000,000",2008,Nvidia,TSMC,65,86,"2,442,000",
GT200,"1,400,000,000",2008,Nvidia,TSMC,65,576,"2,431,000",
RV620,"181,000,000",2008,ATI,TSMC,55,67,"2,701,000",
RV635,"378,000,000",2008,ATI,TSMC,55,135,"2,800,000",
RV710,"242,000,000",2008,ATI,TSMC,55,73,"3,315,000",
RV730,"514,000,000",2008,ATI,TSMC,55,146,"3,521,000",
RV670,"666,000,000",2008,ATI,TSMC,55,192,"3,469,000",
RV770,"956,000,000",2008,ATI,TSMC,55,256,"3,734,000",
RV790,"959,000,000",2008,ATI,TSMC,55,282,"3,401,000",
G92b Tesla,"754,000,000",2008,Nvidia,"TSMC, UMC",55,260,"2,900,000",
G94b Tesla,"505,000,000",2008,Nvidia,"TSMC, UMC",55,196,"2,577,000",
G96b Tesla,"314,000,000",2008,Nvidia,"TSMC, UMC",55,121,"2,595,000",
GT200b Tesla,"1,400,000,000",2008,Nvidia,"TSMC, UMC",55,470,"2,979,000",
GT218 Tesla,"260,000,000",2009,Nvidia,TSMC,40,57,"4,561,000",
GT216 Tesla,"486,000,000",2009,Nvidia,TSMC,40,100,"4,860,000",
GT215 Tesla,"727,000,000",2009,Nvidia,TSMC,40,144,"5,049,000",
RV740,"826,000,000",2009,ATI,TSMC,40,137,"6,029,000",
Cypress RV870,"2,154,000,000",2009,ATI,TSMC,40,334,"6,449,000",
Juniper RV840,"1,040,000,000",2009,ATI,TSMC,40,166,"6,265,000",
Redwood RV830,"627,000,000",2010,AMD (ATI),TSMC,40,104,"6,029,000",
Cedar RV810,"292,000,000",2010,AMD,TSMC,40,59,"4,949,000",
Cayman RV970,"2,640,000,000",2010,AMD,TSMC,40,389,"6,789,000",
Barts RV940,"1,700,000,000",2010,AMD,TSMC,40,255,"6,667,000",
Turks RV930,"716,000,000",2011,AMD,TSMC,40,118,"6,068,000",
Caicos RV910,"370,000,000",2011,AMD,TSMC,40,67,"5,522,000",
GF100 Fermi,"3,200,000,000",2010,Nvidia,TSMC,40,526,"6,084,000",
GF110 Fermi,"3,000,000,000",2010,Nvidia,TSMC,40,520,"5,769,000",
GF104 Fermi,"1,950,000,000",2011,Nvidia,TSMC,40,332,"5,873,000",
GF106 Fermi,"1,170,000,000",2010,Nvidia,TSMC,40,238,"4,916,000",
GF108 Fermi,"585,000,000",2011,Nvidia,TSMC,40,116,"5,043,000",
GF119 Fermi,"292,000,000",2011,Nvidia,TSMC,40,79,"3,696,000",
Tahiti GCN1,"4,312,711,873",2011,AMD,TSMC,28,365,"11,820,000",
Cape Verde GCN1,"1,500,000,000",2012,AMD,TSMC,28,123,"12,200,000",
Pitcairn GCN1,"2,800,000,000",2012,AMD,TSMC,28,212,"13,210,000",
GK110 Kepler,"7,080,000,000",2012,Nvidia,TSMC,28,561,"12,620,000",
GK104 Kepler,"3,540,000,000",2012,Nvidia,TSMC,28,294,"12,040,000",
GK106 Kepler,"2,540,000,000",2012,Nvidia,TSMC,28,221,"11,490,000",
GK107 Kepler,"1,270,000,000",2012,Nvidia,TSMC,28,118,"10,760,000",
GK208 Kepler,"1,020,000,000",2013,Nvidia,TSMC,28,79,"12,910,000",
Oland GCN1,"1,040,000,000",2013,AMD,TSMC,28,90,"11,560,000",
Bonaire GCN2,"2,080,000,000",2013,AMD,TSMC,28,160,"13,000,000",
Durango (Xbox One),"4,800,000,000",2013,AMD,TSMC,28,375,"12,800,000",
Liverpool (PlayStation 4),?,2013,AMD,TSMC,28,348,?,
Hawaii GCN2,"6,300,000,000",2013,AMD,TSMC,28,438,"14,380,000",
GM200 Maxwell,"8,000,000,000",2015,Nvidia,TSMC,28,601,"13,310,000",
GM204 Maxwell,"5,200,000,000",2014,Nvidia,TSMC,28,398,"13,070,000",
GM206 Maxwell,"2,940,000,000",2014,Nvidia,TSMC,28,228,"12,890,000",
GM107 Maxwell,"1,870,000,000",2014,Nvidia,TSMC,28,148,"12,640,000",
Tonga GCN3,"5,000,000,000",2014,AMD,"TSMC, GlobalFoundries",28,366,"13,660,000",
Fiji GCN3,"8,900,000,000",2015,AMD,TSMC,28,596,"14,930,000",
Durango 2 (Xbox One S),"5,000,000,000",2016,AMD,TSMC,16,240,"20,830,000",
Neo (PlayStation 4 Pro),"5,700,000,000",2016,AMD,TSMC,16,325,"17,540,000",
Ellesmere/Polaris 10 GCN4,"5,700,000,000",2016,AMD,"Samsung, GlobalFoundries",14,232,"24,570,000",
Baffin/Polaris 11 GCN4,"3,000,000,000",2016,AMD,"Samsung, GlobalFoundries",14,123,"24,390,000",
Lexa/Polaris 12 GCN4,"2,200,000,000",2017,AMD,"Samsung, GlobalFoundries",14,101,"21,780,000",
GP100 Pascal,"15,300,000,000",2016,Nvidia,"TSMC, Samsung",16,610,"25,080,000",
GP102 Pascal,"11,800,000,000",2016,Nvidia,"TSMC, Samsung",16,471,"25,050,000",
GP104 Pascal,"7,200,000,000",2016,Nvidia,TSMC,16,314,"22,930,000",
GP106 Pascal,"4,400,000,000",2016,Nvidia,TSMC,16,200,"22,000,000",
GP107 Pascal,"3,300,000,000",2016,Nvidia,Samsung,14,132,"25,000,000",
GP108 Pascal,"1,850,000,000",2017,Nvidia,Samsung,14,74,"25,000,000",
Scorpio (Xbox One X),"6,600,000,000",2017,AMD,TSMC,16,367,"17,980,000",
Vega 10 GCN5,"12,500,000,000",2017,AMD,"Samsung, GlobalFoundries",14,484,"25,830,000",
GV100 Volta,"21,100,000,000",2017,Nvidia,TSMC,12,815,"25,890,000",
TU102 Turing,"18,600,000,000",2018,Nvidia,TSMC,12,754,"24,670,000",
TU104 Turing,"13,600,000,000",2018,Nvidia,TSMC,12,545,"24,950,000",
TU106 Turing,"10,800,000,000",2018,Nvidia,TSMC,12,445,"24,270,000",
TU116 Turing,"6,600,000,000",2019,Nvidia,TSMC,12,284,"23,240,000",
TU117 Turing,"4,700,000,000",2019,Nvidia,TSMC,12,200,"23,500,000",
Vega 20 GCN5,"13,230,000,000",2018,AMD,TSMC,7,331,"39,970,000",
Navi 10 RDNA1,"10,300,000,000",2019,AMD,TSMC,7,251,"41,040,000",
Navi 12 RDNA1,?,2020,AMD,TSMC,7,?,?,
Navi 14 RDNA1,"6,400,000,000",2019,AMD,TSMC,7,158,"40,510,000",
Arcturus CDNA1,"25,600,000,000",2020,AMD,TSMC,7,750,"34,100,000",
GA100 Ampere,"54,200,000,000",2020,Nvidia,TSMC,7,826,"65,620,000",
GA102 Ampere,"28,300,000,000",2020,Nvidia,Samsung,8,628,"45,035,000",
GA104 Ampere,"17,400,000,000",2020,Nvidia,Samsung,8,392,"44,390,000",
GA106 Ampere,"13,250,000,000",2021,Nvidia,Samsung,8,276,"48,010,000",
Navi 21 RDNA2,"26,800,000,000",2020,AMD,TSMC,7,520,"51,540,000",
