name,transistor_count,year,designer,process_nm,area_mm2,transistor_density_tr_per_mm2
"MP944 (20-bit, 6-chip, 28 chips total)",5360,1970,Garrett AiResearch,?,?,?
"Intel 4004 (4-bit, 16-pin)",2250,1971,Intel,"10,000",12,188
"TMX 1795 (?-bit, 24-pin)",3078,1971,Texas Instruments,?,30.64,100.5
"Intel 8008 (8-bit, 18-pin)",3500,1972,Intel,"10,000",14,250
"NEC μCOM-4 (4-bit, 42-pin)",2500,1973,NEC,"7,500",?,?
Toshiba TLCS-12 (12-bit),11000,1973,Toshiba,"6,000",32,340
"Intel 4040 (4-bit, 16-pin)",3000,1974,Intel,"10,000",12,250
"Motorola 6800 (8-bit, 40-pin)",4100,1974,Motorola,"6,000",16,256
"Intel 8080 (8-bit, 40-pin)",6000,1974,Intel,"6,000",20,300
"TMS 1000 (4-bit, 28-pin)",8000,1974,Texas Instruments,"8,000",11,730
"MOS Technology 6502 (8-bit, 40-pin)",4528,1975,MOS Technology,"8,000",21,216
"Intersil IM6100 (12-bit, 40-pin; clone of PDP-8)",4000,1975,Intersil,?,?,?
"CDP 1801 (8-bit, 2-chip, 40-pin)",5000,1975,RCA,?,?,?
"RCA 1802 (8-bit, 40-pin)",5000,1976,RCA,"5,000",27,185
"Zilog Z80 (8-bit, 4-bit ALU, 40-pin)",8500,1976,Zilog,"4,000",18,470
"Intel 8085 (8-bit, 40-pin)",6500,1976,Intel,"3,000",20,325
TMS9900 (16-bit),8000,1976,Texas Instruments,?,?,?
Bellmac-8 (8-bit),7000,1977,Bell Labs,"5,000",?,?
"Motorola 6809 (8-bit with some 16-bit features, 40-pin)",9000,1978,Motorola,"5,000",21,430
"Intel 8086 (16-bit, 40-pin)",29000,1978,Intel,"3,000",33,880
Zilog Z8000 (16-bit),17500,1979,Zilog,?,?,?
"Intel 8088 (16-bit, 8-bit data bus)",29000,1979,Intel,"3,000",33,880
"Motorola 68000 (16/32-bit, 32-bit registers, 16-bit  ALU)",68000,1979,Motorola,"3,500",44,"1,550"
"Intel 8051 (8-bit, 40-pin)",50000,1980,Intel,?,?,?
WDC 65C02,11500,1981,WDC,"3,000",6,"1,920"
ROMP (32-bit),45000,1981,IBM,"2,000",?,?
"Intel 80186 (16-bit, 68-pin)",55000,1982,Intel,"3,000",60,920
"Intel 80286 (16-bit, 68-pin)",134000,1982,Intel,"1,500",49,2730
WDC 65C816 (8/16-bit),22000,1983,WDC,"3,000",9,"2,400"
NEC V20,63000,1984,NEC,?,?,?
Motorola 68020 (32-bit; 114 pins used),190000,1984,Motorola,"2,000",85,"2,200"
"Intel 80386 (32-bit, 132-pin; no cache)",275000,1985,Intel,"1,500",104,"2,640"
ARM 1 (32-bit; no cache),25000,1985,ARM,"3,000",50,500
Novix NC4016 (16-bit),16000,1985,Harris Corporation,"3,000",?,?
SPARC MB86900 (32-bit; no cache),110000,1986,Fujitsu,"1,200",?,?
NEC V60 (32-bit; no cache),375000,1986,NEC,"1,500",?,?
"ARM 2 (32-bit, 84-pin; no cache)",27000,1986,ARM,"2,000",30.25,890
Z80000 (32-bit; very small cache),91000,1986,Zilog,?,?,?
NEC V70 (32-bit; no cache),385000,1987,NEC,"1,500",?,?
Hitachi Gmicro/200,730000,1987,Hitachi,"1,000",?,?
"Motorola 68030 (32-bit, very small caches)",273000,1987,Motorola,800,102,"2,680"
TI Explorer's 32-bit Lisp machine chip,553000,1987,Texas Instruments,"2,000",?,?
DEC WRL MultiTitan,180000,1988,DEC WRL,"1,500",61,"2,950"
"Intel i960 (32-bit, 33-bit memory subsystem, no cache)",250000,1988,Intel,"1,500",?,?
"Intel i960CA (32-bit, cache)",600000,1989,Intel,800,143,"4,200"
"Intel i860 (32/64-bit, 128-bit SIMD, cache, VLIW)",1000000,1989,Intel,?,?,?
"Intel 80486 (32-bit, 4 KB cache)",1180235,1989,Intel,"1,000",173,"6,822"
"ARM 3 (32-bit, 4 KB cache)",310000,1989,ARM,"1,500",87,"3,600"
"POWER1 (9-chip module, 72 kB of cache)",6900000,1990,IBM,"1,000","1,283.61","5,375"
"Motorola 68040 (32-bit, 8 KB caches)",1200000,1990,Motorola,650,152,"7,900"
"R4000 (64-bit, 16 KB of caches)",1350000,1991,MIPS,"1,000",213,"6,340"
"ARM 6 (32-bit, no cache for this 60 variant)",35000,1991,ARM,800,?,?
"Hitachi SH-1 (32-bit, no cache)",600000,1992,Hitachi,800,100,"6,000"
"Intel i960CF (32-bit, cache)",900000,1992,Intel,?,125,"7,200"
"DEC Alpha 21064 (64-bit, 290-pin; 16 KB of caches)",1680000,1992,DEC,750,233.52,"7,190"
"Hitachi HARP-1 (32-bit, cache)",2800000,1993,Hitachi,500,267,"10,500"
"Pentium (32-bit, 16 KB of caches)",3100000,1993,Intel,800,294,"10,500"
"POWER2 (8-chip module, 288 kB of cache)",23037000,1993,IBM,720,"1,217.39","18,923"
ARM700 (32-bit; 8 KB cache),578977,1994,ARM,700,68.51,"8,451"
"MuP21 (21-bit, 40-pin; includes video)",7000,1994,Offete Enterprises,"1,200",?,?
"Motorola 68060 (32-bit, 16 KB of caches)",2500000,1994,Motorola,600,218,"11,500"
"PowerPC 601 (32-bit, 32 KB of caches)",2800000,1994,Apple/IBM/Motorola,600,121,"23,000"
"PowerPC 603 (32-bit, 16 KB of caches)",1600000,1994,Apple/IBM/Motorola,500,84.76,"18,900"
"PowerPC 603e (32-bit, 32 KB of caches)",2600000,1995,Apple/IBM/Motorola,500,98,"26,500"
"Alpha 21164 EV5 (64-bit, 112 kB cache)",9300000,1995,DEC,500,298.65,"31,140"
"SA-110 (32-bit, 32 KB of caches)",2500000,1995,ARM/DEC/Apple,350,50,"50,000"
"Pentium Pro (32-bit, 16 KB of caches; L2 cache on-package, but on separate die)",5500000,1995,Intel,500,307,"18,000"
"PA-8000 64-bit, no cache",3800000,1995,HP,500,337.69,"11,300"
"Alpha 21164A EV56 (64-bit, 112 kB cache)",9660000,1996,DEC,350,208.8,"46,260"
"AMD K5 (32-bit, caches)",4300000,1996,AMD,500,251,"17,000"
"Hitachi SH-4 (32-bit, caches)",10000000,1997,Hitachi,200,42,"238,000 (check)"
